Wavelength	Mean	Std+	Std-	FWHM
589	0.4290375	0.465991925	0.392083075	0.006
590	0.43002385	0.467039557	0.393008143	0.006
591	0.4310072	0.468086738	0.393927662	0.006
592	0.431937075	0.469053693	0.394820457	0.006
593	0.4328432	0.469996224	0.395690176	0.006
594	0.433736275	0.470927619	0.396544931	0.006
595	0.43462225	0.471855723	0.397388777	0.006
596	0.435502125	0.472776181	0.398228069	0.006
597	0.4363706	0.47368362	0.39905758	0.006
598	0.437196275	0.474545903	0.399846647	0.006
599	0.438013325	0.47540216	0.40062449	0.006
600	0.4388228	0.476250569	0.401395031	0.006
601	0.43961265	0.477076334	0.402148966	0.006
602	0.440362625	0.477869078	0.402856172	0.006
603	0.44109305	0.478638109	0.403547991	0.006
604	0.44180335	0.479381177	0.404225523	0.006
605	0.44246915	0.480068863	0.404869437	0.006
606	0.443119375	0.480736992	0.405501758	0.006
607	0.443754625	0.481387456	0.406121794	0.006
608	0.4443448	0.481992993	0.406696607	0.006
609	0.44497225	0.482632087	0.407312413	0.006
610	0.445597375	0.483269032	0.407925718	0.006
611	0.446177975	0.483864404	0.408491546	0.006
612	0.44676385	0.484454701	0.409072999	0.006
613	0.447325475	0.48502102	0.40962993	0.006
614	0.447859	0.485561196	0.410156804	0.006
615	0.4484666	0.486176634	0.410756566	0.006
616	0.449091375	0.486811394	0.411371356	0.006
617	0.449722625	0.487452585	0.411992665	0.006
618	0.45032865	0.488060675	0.412596625	0.006
619	0.45083785	0.488562448	0.413113252	0.006
620	0.451314775	0.489026266	0.413603284	0.006
621	0.4517958	0.489488649	0.414102951	0.006
622	0.45230495	0.489987101	0.414622799	0.006
623	0.452870675	0.490545841	0.415195509	0.006
624	0.453500725	0.491172843	0.415828607	0.006
625	0.454099225	0.491787614	0.416410836	0.006
626	0.4547044	0.492402743	0.417006057	0.006
627	0.4553176	0.493020107	0.417615093	0.006
628	0.455964925	0.493665343	0.418264507	0.006
629	0.4565961	0.494304437	0.418887763	0.006
630	0.457211125	0.494922828	0.419499422	0.006
631	0.45780595	0.495501199	0.420110701	0.006
632	0.4583423	0.496024072	0.420660528	0.006
633	0.45890095	0.496576584	0.421225316	0.006
634	0.459500925	0.497179241	0.421822609	0.006
635	0.4601172	0.497798672	0.422435728	0.006
636	0.46070635	0.498377605	0.423035095	0.006
637	0.461278775	0.498930533	0.423627017	0.006
638	0.461876425	0.499515593	0.424237257	0.006
639	0.4624699	0.500112262	0.424827538	0.006
640	0.463057225	0.500706886	0.425407564	0.006
641	0.463633975	0.501283983	0.425983967	0.006
642	0.4642361	0.501888644	0.426583556	0.006
643	0.464827675	0.502485475	0.427169875	0.006
644	0.465401875	0.50306798	0.42773577	0.006
645	0.465932275	0.503609078	0.428255472	0.006
646	0.466483725	0.504182181	0.428785269	0.006
647	0.467052175	0.50477958	0.42932477	0.006
648	0.467607025	0.505353044	0.429861006	0.006
649	0.468207375	0.505984828	0.430429922	0.006
650	0.4688118	0.50662426	0.43099934	0.006
651	0.4693721	0.507213926	0.431530274	0.006
652	0.469892825	0.507745175	0.432040475	0.006
653	0.470412025	0.508273577	0.432550473	0.006
654	0.470952325	0.5088282	0.43307645	0.006
655	0.4715631	0.509490659	0.433635541	0.006
656	0.472211275	0.510202098	0.434220452	0.006
657	0.472865375	0.510919303	0.434811447	0.006
658	0.473482975	0.511535754	0.435430196	0.006
659	0.4740729	0.512122852	0.436022948	0.006
660	0.47466185	0.512711209	0.436612491	0.006
661	0.475294075	0.513352554	0.437235596	0.006
662	0.475923525	0.514002443	0.437844607	0.006
663	0.476531425	0.514628125	0.438434725	0.006
664	0.477102325	0.515207555	0.438997095	0.006
665	0.477674375	0.51579895	0.4395498	0.006
666	0.4782436	0.51638164	0.44010556	0.006
667	0.478813125	0.516959174	0.440667076	0.006
668	0.4794071	0.517568417	0.441245783	0.006
669	0.479984975	0.518154278	0.441815672	0.006
670	0.480551125	0.518726857	0.442375393	0.006
671	0.481102275	0.519292501	0.442912049	0.006
672	0.4816694	0.519873763	0.443465037	0.006
673	0.482241425	0.520461008	0.444021842	0.006
674	0.482816525	0.521053153	0.444579897	0.006
675	0.4833751	0.521627824	0.445122376	0.006
676	0.483934875	0.52220316	0.44566659	0.006
677	0.48449565	0.52277928	0.44621202	0.006
678	0.48502915	0.523326494	0.446731806	0.006
679	0.4855946	0.523905719	0.447283481	0.006
680	0.48616815	0.524492677	0.447843623	0.006
681	0.486697525	0.525033984	0.448361066	0.006
682	0.487216225	0.525558982	0.448873468	0.006
683	0.487715275	0.526054922	0.449375628	0.006
684	0.4881875	0.526508644	0.449866356	0.006
685	0.488651475	0.526986214	0.450316736	0.006
686	0.48917605	0.527562538	0.450789562	0.006
687	0.4897666	0.52824497	0.45128823	0.006
688	0.490376925	0.528892485	0.451861365	0.006
689	0.49094645	0.529468761	0.452424139	0.006
690	0.49148445	0.529991842	0.452977058	0.006
691	0.492034425	0.530513731	0.453555119	0.006
692	0.492559325	0.531019596	0.454099054	0.006
693	0.4930985	0.531549276	0.454647724	0.006
694	0.4936879	0.532143381	0.455232419	0.006
695	0.494281825	0.53276139	0.45580226	0.006
696	0.494850825	0.533346859	0.456354791	0.006
697	0.495394275	0.533895177	0.456893373	0.006
698	0.495935875	0.534439638	0.457432112	0.006
699	0.496471125	0.534991965	0.457950285	0.006
700	0.49701025	0.535556816	0.458463684	0.006
701	0.49758325	0.536150123	0.459016377	0.006
702	0.4981673	0.536759598	0.459575002	0.006
703	0.498744825	0.537360688	0.460128962	0.006
704	0.499306275	0.53793751	0.46067504	0.006
705	0.49984025	0.538482564	0.461197936	0.006
706	0.500396125	0.539055243	0.461737007	0.006
707	0.5009847	0.539668785	0.462300615	0.006
708	0.501525775	0.540231491	0.462820059	0.006
709	0.5020979	0.540818814	0.463376986	0.006
710	0.5026857	0.541418624	0.463952776	0.006
711	0.50323545	0.541987341	0.464483559	0.006
712	0.50375235	0.542519728	0.464984972	0.006
713	0.5042434	0.543014554	0.465472246	0.006
714	0.5047033	0.543451477	0.465955123	0.006
715	0.5050496	0.543738571	0.466360629	0.006
716	0.50541985	0.544059413	0.466780287	0.006
717	0.505856625	0.544471161	0.467242089	0.006
718	0.506465725	0.545142459	0.467788991	0.006
719	0.507096175	0.545847653	0.468344697	0.006
720	0.507696925	0.546517701	0.468876149	0.006
721	0.50819145	0.547006455	0.469376445	0.006
722	0.50865495	0.547445756	0.469864144	0.006
723	0.5091559	0.547930345	0.470381455	0.006
724	0.5097588	0.548561593	0.470956007	0.006
725	0.51030485	0.549129837	0.471479863	0.006
726	0.5108467	0.549694118	0.471999282	0.006
727	0.511404825	0.550277267	0.472532383	0.006
728	0.51195215	0.550858649	0.473045651	0.006
729	0.512509425	0.551461733	0.473557117	0.006
730	0.51307895	0.552085981	0.474071919	0.006
731	0.5137292	0.552787541	0.474670859	0.006
732	0.5143273	0.55342334	0.47523126	0.006
733	0.5148998	0.554022137	0.475777463	0.006
734	0.5154817	0.554615229	0.476348171	0.006
735	0.51602565	0.555184023	0.476867277	0.006
736	0.516561525	0.555744746	0.477378304	0.006
737	0.517097325	0.556300485	0.477894165	0.006
738	0.517631075	0.556869471	0.478392679	0.006
739	0.518165375	0.557433851	0.478896899	0.006
740	0.51870525	0.557998212	0.479412288	0.006
741	0.51931285	0.558628955	0.479996745	0.006
742	0.5198754	0.559216128	0.480534672	0.006
743	0.520398775	0.559763899	0.481033651	0.006
744	0.52087665	0.560263099	0.481490201	0.006
745	0.5213871	0.56078814	0.48198606	0.006
746	0.521900925	0.561308969	0.482492881	0.006
747	0.52240945	0.56181448	0.48300442	0.006
748	0.52289025	0.562310304	0.483470196	0.006
749	0.523391425	0.562832892	0.483949958	0.006
750	0.523909925	0.563377656	0.484442194	0.006
751	0.52440165	0.563896729	0.484906571	0.006
752	0.5249111	0.564418161	0.485404039	0.006
753	0.525409275	0.564918874	0.485899676	0.006
754	0.52583125	0.565340169	0.486322331	0.006
755	0.526265975	0.56577376	0.48675819	0.006
756	0.5266054	0.566072765	0.487138035	0.006
757	0.5267643	0.566110893	0.487417707	0.006
758	0.52652015	0.5657848	0.4872555	0.006
759	0.526966775	0.566436482	0.487497068	0.006
760	0.5287173	0.568884455	0.488550145	0.006
761	0.529005925	0.56907308	0.48893877	0.006
762	0.5293615	0.569399571	0.489323429	0.006
763	0.52978845	0.569815645	0.489761255	0.006
764	0.530279325	0.570251128	0.490307522	0.006
765	0.530710225	0.570595196	0.490825254	0.006
766	0.531111975	0.570913861	0.491310089	0.006
767	0.531538275	0.571267779	0.491808771	0.006
768	0.531984875	0.571682716	0.492287034	0.006
769	0.532411725	0.572094644	0.492728806	0.006
770	0.53282055	0.572501531	0.493139569	0.006
771	0.53324115	0.572911825	0.493570475	0.006
772	0.533627675	0.573282761	0.493972589	0.006
