NAME,LEVEL_1,LEVEL_2,LEVEL_3,LEVEL_4,LAT,LON,SOURCE,NOTES
fscrmg.006-,impervious,urban,comp_shingle,measured,34.4118,-119.8709,asd,urban reflectance spectra from santa barbara
fsctmg.001-,impervious,urban,comp_shingle,measured,34.4332,-119.7809,asd,urban reflectance spectra from santa barbara
fsctmg.052-,impervious,urban,comp_shingle,measured,34.4332,-119.7809,asd,urban reflectance spectra from santa barbara
fscemg.017-,impervious,urban,comp_shingle,measured,34.4332,-119.7809,asd,urban reflectance spectra from santa barbara
fscemg.015-,impervious,urban,comp_shingle,measured,34.4332,-119.7809,asd,urban reflectance spectra from santa barbara
fsctmg.049-,impervious,urban,comp_shingle,measured,34.4332,-119.7809,asd,urban reflectance spectra from santa barbara
fsctmg.027-,impervious,urban,comp_shingle,measured,34.4332,-119.7809,asd,urban reflectance spectra from santa barbara
fsctmg.053-,impervious,urban,comp_shingle,measured,34.4332,-119.7809,asd,urban reflectance spectra from santa barbara
fsctmg.013-,impervious,urban,comp_shingle,measured,34.4332,-119.7809,asd,urban reflectance spectra from santa barbara
fsctmg.046-,impervious,urban,comp_shingle,measured,34.4332,-119.7809,asd,urban reflectance spectra from santa barbara
fscnye.012-,impervious,urban,comp_shingle,measured,34.4156,-119.8453,asd,urban reflectance spectra from santa barbara
fsctmg.051-,impervious,urban,comp_shingle,measured,34.4332,-119.7809,asd,urban reflectance spectra from santa barbara
fscgye.024-,impervious,urban,comp_shingle,measured,34.4309,-119.6795,asd,urban reflectance spectra from santa barbara
fscemg.012-,impervious,urban,comp_shingle,measured,34.4332,-119.7809,asd,urban reflectance spectra from santa barbara
fscnye.011-,impervious,urban,comp_shingle,measured,34.4156,-119.8453,asd,urban reflectance spectra from santa barbara
fsctmg.010-,impervious,urban,comp_shingle,measured,34.4332,-119.7809,asd,urban reflectance spectra from santa barbara
fscrmg.007-,impervious,urban,comp_shingle,measured,34.4118,-119.8709,asd,urban reflectance spectra from santa barbara
fsctmg.011-,impervious,urban,comp_shingle,measured,34.4332,-119.7809,asd,urban reflectance spectra from santa barbara
fscemg.010-,impervious,urban,comp_shingle,measured,34.4332,-119.7809,asd,urban reflectance spectra from santa barbara
fscemg.013-,impervious,urban,comp_shingle,measured,34.4332,-119.7809,asd,urban reflectance spectra from santa barbara
fsctmg.047-,impervious,urban,comp_shingle,measured,34.4332,-119.7809,asd,urban reflectance spectra from santa barbara
fsctmg.017-,impervious,urban,comp_shingle,measured,34.4332,-119.7809,asd,urban reflectance spectra from santa barbara
fscemg.011-,impervious,urban,comp_shingle,measured,34.4332,-119.7809,asd,urban reflectance spectra from santa barbara
fsctmg.044-,impervious,urban,comp_shingle,measured,34.4332,-119.7809,asd,urban reflectance spectra from santa barbara
fsctmg.045-,impervious,urban,comp_shingle,measured,34.4332,-119.7809,asd,urban reflectance spectra from santa barbara
fscemg.009-,impervious,urban,comp_shingle,measured,34.4332,-119.7809,asd,urban reflectance spectra from santa barbara
fscemg.008-,impervious,urban,comp_shingle,measured,34.4332,-119.7809,asd,urban reflectance spectra from santa barbara
