ISO,ID,HORI,TOP,BOT,SAMPLENO,SIO2,AL2O3,FE2O3,CAO,MGO,K2O,NA2O,TIO2,MNO2,P2O5,IGN,TOTAL,RATIOSIAL,RATIOSIFE,RATIOSIR,RATIOALFE,SOELREM,EDITDATE,VERIFIED
"IN",9,4,68,150,"770039",4.5899999999999999e+01,3.2399999999999999e+01,5.7999999999999998e+00,4.9999999999999996e-02,3.4999999999999998e-01,1.0399999999999998e+00,,7.7999999999999992e-01,2.9999999999999999e-02,2.9999999999999999e-02,1.2000000000000000e+01,9.8399999999999991e+01,2.3999999999999999e+00,1.7799999999999997e+01,2.0999999999999996e+00,7.3999999999999995e+00,,"03/07/95 00:00:00","OSP"
"CN",4,6,80,113,"840279",4.6299999999999997e+01,2.7599999999999998e+01,1.0299999999999999e+01,4.9999999999999996e-02,1.1399999999999999e+00,2.7599999999999998e+00,,1.2500000000000000e+00,9.9999999999999992e-02,1.0999999999999999e-01,9.2999999999999989e+00,9.8899999999999991e+01,2.8999999999999999e+00,1.2000000000000000e+01,2.2999999999999998e+00,4.1999999999999993e+00,,"05/03/94 00:00:00","OSP"
"CN",4,8,130,150,"840281",4.6500000000000000e+01,2.8000000000000000e+01,1.0699999999999999e+01,3.9999999999999994e-02,1.1499999999999999e+00,2.7199999999999998e+00,,1.3599999999999999e+00,5.9999999999999998e-02,9.9999999999999992e-02,9.3999999999999986e+00,1.0000000000000000e+02,2.7999999999999998e+00,1.1600000000000000e+01,2.2999999999999998e+00,4.0999999999999996e+00,,"05/03/94 00:00:00","OSP"
"KE",17,1,0,10,"800022",5.1799999999999997e+01,1.8199999999999999e+01,1.0199999999999999e+01,9.3999999999999995e-01,4.8999999999999999e-01,4.3999999999999995e-01,,7.6999999999999991e-01,1.8999999999999997e-01,1.9999999999999998e-01,1.2799999999999999e+01,9.9599999999999994e+01,4.7999999999999998e+00,1.3500000000000000e+01,3.5999999999999996e+00,2.7999999999999998e+00,,"01/24/96 00:00:00","OSP"
"FI",1,3,15,25,"680136",5.1100000000000001e+01,2.0000000000000000e+01,1.0900000000000000e+01,1.0700000000000001e+00,4.0599999999999996e+00,3.9800000000000000e+00,,1.0500000000000000e+00,8.0000000000000002e-02,1.7000000000000001e-01,5.0999999999999996e+00,9.7599999999999994e+01,4.2999999999999998e+00,1.2400000000000000e+01,3.2000000000000002e+00,2.8999999999999999e+00,,"06/18/03 00:00:00","OSP"
"FI",1,34,25,42,"680137",5.1000000000000000e+01,1.9600000000000001e+01,1.1600000000000000e+01,1.2200000000000000e+00,4.0899999999999999e+00,4.0000000000000000e+00,,1.0300000000000000e+00,8.9999999999999997e-02,2.2000000000000000e-01,5.0000000000000000e+00,9.7900000000000006e+01,4.4000000000000004e+00,1.1600000000000000e+01,3.2000000000000002e+00,2.6000000000000001e+00,,"06/18/03 00:00:00","OSP"
"FI",1,45,42,59,"680138",5.0899999999999999e+01,1.9399999999999999e+01,1.1500000000000000e+01,1.3500000000000001e+00,4.3799999999999999e+00,3.8999999999999999e+00,,1.0300000000000000e+00,8.9999999999999997e-02,2.5000000000000000e-01,4.5999999999999996e+00,9.7500000000000000e+01,4.4000000000000004e+00,1.1800000000000001e+01,3.2000000000000002e+00,2.6000000000000001e+00,,"06/18/03 00:00:00","OSP"
"FI",1,5,59,90,"680139",5.1299999999999997e+01,1.9800000000000001e+01,1.1400000000000000e+01,1.5100000000000000e+00,4.5899999999999999e+00,4.0000000000000000e+00,,1.0600000000000001e+00,1.0000000000000001e-01,2.3999999999999999e-01,4.5000000000000000e+00,9.8500000000000000e+01,4.4000000000000004e+00,1.1900000000000000e+01,3.2000000000000002e+00,2.7000000000000002e+00,,"06/18/03 00:00:00","OSP"
"FR",4,1,0,10,"660060",4.8000000000000000e+01,2.0600000000000001e+01,8.0000000000000000e+00,1.0000000000000001e-01,8.5999999999999996e+00,5.0000000000000000e+00,,1.0000000000000000e+00,1.0000000000000001e-01,2.0000000000000001e-01,7.2999999999999998e+00,,,,,,,"06/19/03 00:00:00","OSP"
"FR",4,2,10,28,"660061",4.9600000000000001e+01,2.0500000000000000e+01,7.9000000000000004e+00,1.0000000000000001e-01,8.8000000000000007e+00,4.9000000000000004e+00,,9.0000000000000002e-01,1.0000000000000001e-01,2.0000000000000001e-01,7.5000000000000000e+00,,,,,,,"06/19/03 00:00:00","OSP"
"FR",11,6,85,115,"660048",4.9399999999999999e+01,2.3899999999999999e+01,1.0000000000000000e+01,0.0000000000000000e+00,1.8999999999999999e+00,2.6000000000000001e+00,,1.0000000000000000e+00,1.0000000000000001e-01,2.0000000000000001e-01,8.5999999999999996e+00,,3.5000000000000000e+00,1.3100000000000000e+01,2.7999999999999998e+00,3.7000000000000002e+00,,"06/20/03 00:00:00","OSP"
"FR",11,7,115,133,"660049",5.0700000000000003e+01,2.4000000000000000e+01,9.6999999999999993e+00,0.0000000000000000e+00,1.8999999999999999e+00,2.7000000000000002e+00,,1.1000000000000001e+00,1.0000000000000001e-01,2.0000000000000001e-01,8.1999999999999993e+00,,3.6000000000000001e+00,1.3900000000000000e+01,2.7999999999999998e+00,3.8999999999999999e+00,,"06/20/03 00:00:00","OSP"
"GR",1,1,0,25,"710046",5.2200000000000003e+01,2.2100000000000001e+01,8.1999999999999993e+00,4.5000000000000001e-01,2.3199999999999998e+00,1.8799999999999999e+00,,7.0999999999999996e-01,8.9999999999999997e-02,1.1000000000000000e-01,7.7999999999999998e+00,1.0050000000000000e+02,4.2000000000000002e+00,4.0000000000000000e+00,1.6899999999999999e+01,3.2000000000000002e+00,,"09/23/03 00:00:00","OSP"
"GR",1,2,25,82,"710047",5.2200000000000003e+01,2.2100000000000001e+01,8.1999999999999993e+00,4.4000000000000000e-01,2.3500000000000001e+00,1.8200000000000001e+00,,7.0999999999999996e-01,8.0000000000000002e-02,8.9999999999999997e-02,7.5999999999999996e+00,1.0030000000000000e+02,4.2000000000000002e+00,4.0000000000000000e+00,1.7000000000000000e+01,3.2000000000000002e+00,,"09/23/03 00:00:00","OSP"
"GR",1,3,82,113,"710048",5.4100000000000001e+01,2.0899999999999999e+01,7.7000000000000002e+00,3.4000000000000002e-01,2.3399999999999999e+00,1.9399999999999999e+00,,7.6000000000000001e-01,8.0000000000000002e-02,1.0000000000000001e-01,7.0999999999999996e+00,1.0050000000000000e+02,4.2999999999999998e+00,4.4000000000000004e+00,1.8699999999999999e+01,3.6000000000000001e+00,,"09/23/03 00:00:00","OSP"
"GR",1,4,113,147,"710049",,,,,,,,,,,,,,,,,,,
"GR",1,5,147,160,"710050",,,,,,,,,,,,,,,,,,,
"HU",2,1,0,10,"970134",4.3399999999999999e+01,2.2300000000000001e+01,9.0000000000000000e+00,2.0200000000000000e+00,2.3999999999999999e+00,2.8900000000000001e+00,,6.0999999999999999e-01,2.2000000000000000e-01,1.0000000000000000e+00,1.5000000000000000e+01,9.8799999999999997e+01,3.2999999999999998e+00,1.2800000000000001e+01,2.6000000000000001e+00,3.8999999999999999e+00,,"09/25/03 00:00:00","OSP"
"HU",2,2,10,30,"970135",4.6500000000000000e+01,2.4500000000000000e+01,9.9000000000000004e+00,1.2000000000000000e+00,2.5299999999999998e+00,3.0000000000000000e+00,,6.3000000000000000e-01,1.7999999999999999e-01,1.0000000000000000e+00,1.1699999999999999e+01,1.0109999999999999e+02,3.2000000000000002e+00,1.2500000000000000e+01,2.6000000000000001e+00,3.8999999999999999e+00,,"09/25/03 00:00:00","OSP"
"HU",6,1,0,20,"970152",4.9200000000000003e+01,1.9500000000000000e+01,1.2300000000000001e+01,2.0000000000000001e-01,2.4100000000000001e+00,3.5600000000000001e+00,,6.5000000000000002e-01,2.8000000000000003e-01,7.5000000000000000e-01,8.5999999999999996e+00,9.7500000000000000e+01,4.2999999999999998e+00,1.0600000000000000e+01,3.1000000000000001e+00,2.5000000000000000e+00,,"09/26/03 00:00:00","OSP"
"HU",6,2,40,65,"970153",4.8700000000000003e+01,1.9500000000000000e+01,1.3100000000000000e+01,1.9000000000000000e-01,2.6699999999999999e+00,2.7599999999999998e+00,,5.2000000000000002e-01,2.5000000000000000e-01,4.6999999999999997e-01,9.9000000000000004e+00,9.8099999999999994e+01,4.2000000000000002e+00,9.9000000000000004e+00,3.0000000000000000e+00,2.2999999999999998e+00,,"09/26/03 00:00:00","OSP"
"HU",6,3,65,100,"970154",4.9000000000000000e+01,2.0500000000000000e+01,1.3500000000000000e+01,2.3000000000000001e-01,2.7799999999999998e+00,2.6200000000000001e+00,,4.2999999999999999e-01,2.0999999999999999e-01,4.6000000000000002e-01,9.6999999999999993e+00,9.9400000000000006e+01,4.0999999999999996e+00,9.6999999999999993e+00,2.8999999999999999e+00,2.3999999999999999e+00,,"09/26/03 00:00:00","OSP"
"DE",11,1,0,1,"670157",,,,,,,,,,,,,,,,,"Organic layer, no clay","02/03/97 00:00:00","OSP"
"DE",11,2,1,5,"670156",,,,,,,,,,,,,,,,,,"02/03/97 00:00:00","OSP"
"DE",11,3,5,14,"670155",4.6699999999999996e+01,2.6000000000000000e+01,7.0999999999999996e+00,0.0000000000000000e+00,7.6999999999999991e-01,3.8599999999999999e+00,7.5000000000000000e-01,8.9999999999999991e-01,2.9999999999999999e-02,2.1999999999999997e-01,1.0799999999999999e+01,9.7099999999999994e+01,3.0000000000000000e+00,1.7500000000000000e+01,2.5999999999999996e+00,5.7999999999999998e+00,,"02/04/97 00:00:00","OSP"
"DE",11,4,14,20,"670161",4.9299999999999997e+01,2.4199999999999999e+01,1.0399999999999999e+01,2.5999999999999995e-01,2.7500000000000000e+00,6.0499999999999998e+00,0.0000000000000000e+00,1.1399999999999999e+00,1.3999999999999999e-01,2.9999999999999999e-01,6.5000000000000000e+00,1.0100000000000000e+02,3.5000000000000000e+00,1.2699999999999999e+01,2.6999999999999997e+00,3.6999999999999997e+00,,"02/04/97 00:00:00","OSP"
"TH",4,2,70,80,"670117",5.0000000000000000e+01,2.9299999999999997e+01,7.1999999999999993e+00,9.9999999999999992e-02,1.2000000000000000e+00,2.8999999999999999e+00,,8.9999999999999991e-01,9.9999999999999992e-02,1.9999999999999998e-01,8.8999999999999986e+00,1.0080000000000000e+02,2.8999999999999999e+00,1.8399999999999999e+01,2.5000000000000000e+00,6.2999999999999998e+00,,"07/19/96 00:00:00","OSP"
