ISO,ID,WRB_RG,WRB_Q1,WRB_Q2,WRB_Q3,WRB_Q4,FAO_88,FSUB_88,PHA_88,FAOSTAT_88,FAO_74,PHA_74,FAOSTAT,USGG_99,USSG_99,USTX_92,USMIN_92,STR_92,OTH_92,SMR_92,USGG_75,USSG_75,USTX,USMIN,STR,OTH,SMR,LOCAL,REMARKS,EDITDATE,VER,,,,,
BJ,1,NT,eu,,,,NTh,,,1,Ne,,1,,,,,,,,adb,AA,96,46,IH,,UD,Terre de barre,,05/06/03 12:00 AM,OSP,,,,,
BJ,2,LX,pli,pf,cr,,LXf,ch,,1,Lf,,1,,,,,,,,aub,AA,80,46,IH,,US,CPCS (1967): Sol ferrugineux tropical lessivé à concrétions sur embréchite,,05/07/03 12:00 AM,OSP,,,,,
BJ,3,VR,gm,eu,,,VRe,gu,,1,Vc,,1,,,,,,,,vur,EN,114,37,IH,,US,CPCS (1967): Vertisol topomorphe à drainage externe réduit sur sédiment argilo-calcaire éocéne,,05/08/03 12:00 AM,OSP,,,,,
BJ,4,,,,,,,,,0,,,0,,,,,,,,,,,,,,,,,,,,,,,
BR,1,,,,,,LXH,,,0,Lf,,1,jce,ty,,,,,,aub,OX,96,28,IH,,US,Podzolico vermelho amarelo *),,02/16/95 12:00 AM,,,,,,
BR,2,,,,,,LXH,,,0,Lf,,1,jce,ty,,,,,,aub,OX,114,,HT,,US,Podzolico Vermelho-Amaralho *),,02/16/95 12:00 AM,,,,,,
BR,3,,,,,,FRG,,,0,Fa,,1,ecb,rh,,,,,,ouk,AA,114,28,HT,,US,Latossolo LE *),,02/16/95 12:00 AM,,,,,,
BR,4,,,,,,FRR,,,0,Fr,,1,ecc,ty,,,,,,ooe,AA,114,28,IT,,US,Latossolo Roxo eutrofico,,02/16/95 12:00 AM,,,,,,
BR,5,,,,,,FRG,,,0,Fa,,1,ecb,rh,,,,,,ook,AA,114,40,IT,,US,Latossolo Roxo acrico,,02/16/95 12:00 AM,,,,,,
BR,6,,,,,,FRR,,,0,Fr,,1,ece,rh,,,,,,oua,AA,68,28,HT,,UD,Latossolo Vermelho-Amarelo *),,02/16/95 12:00 AM,,,,,,
BR,7,,,,,,NTR,,,0,Ne,,1,jcf,ka,,,,,,adb,RH,114,28,HT,,US,Terra Roxa Estruturada eutr.*),,02/16/95 12:00 AM,,,,,,
BR,8,,,,,,FRU,,,0,Fh,,1,eee,hm,,,,,,ooa,AA,114,28,TH,,UD,Latossolo Roxo Humico Dist. *),,02/16/95 12:00 AM,,,,,,
BR,9,,,,,,FRU,,,0,Fh,,1,ece,hm,,,,,,ohk,AA,114,28,TH,,UD,Latossolo Bruno Humico dist. *,,02/16/95 12:00 AM,,,,,,
BR,10,,,,,,FRU,,,0,Fh,,1,eee,hm,,,,,,ohk,AA,114,28,TH,,UD,Latossolo Vermelho Amarelo *),,02/16/95 12:00 AM,,,,,,OSP
BR,11,,,,,,FRX,,,0,Ao,,1,edd,xa,,,,,,ouk,HA02,68,28,IH,,PU,Latossolo Amarelo alico,,02/16/95 12:00 AM,,,,,,
BR,12,,,,,,ATF,,,0,Be,,1,kba,,,,,,,ig,,115,28,IH,,PU,Terra Preta dos Indios,,02/17/95 12:00 AM,,,,,,
BR,13,,,,,,FRG,,,0,Fa,,1,ede,xa,,,,,,oua,AA,114,28,IH,,PU,Latossolo Amarelo Distrofico,,02/17/95 12:00 AM,,,,,,
BR,14,,,,,,FRR,,,0,Fr,CE,1,ece,hm,,,,,,oua,AA,114,,IH,,US,Latossolo Vermelho Escuro d.*),,02/17/95 12:00 AM,,,,,,
BR,15,,,,,,FRG,,,0,Fa,CE,1,ecb,hm,,,,,,oua,AA,115,,IH,,US,Latossolo Vermelho Amarelo *),,02/17/95 12:00 AM,,,,,,
BR,16,,,,,,PHL,,,0,Hl,,1,ife,pa,,,,,,mur,UD02,114,,IH,,US,Brunizem Avermelhado,,02/17/95 12:00 AM,,,,,,
BR,17,,,,,,SNH,,,0,So,,1,jcc,ty,,,,,,aun,AA,86,,IH,,US,Planossolo solódico,,02/17/95 12:00 AM,,,,,,
BR,18,,,,,,ACH,,,0,Ao,X,1,hdb,ty,,,,,,uub,AA,68,,IH,,US,Podzolico Acinzentado,,06/13/94 12:00 AM,,,,,,
BR,19,,,,,,PZH,,,0,Pp,MQ,1,cde,ty,,,,,,s,,62,46,IH,,US,Podzol com duripan*,,06/13/94 12:00 AM,,,,,,
BR,20,,,,,,ARH,,,0,Qb,,1,lcc,,,,,,,esz,AA,62,46,FH,,US,Areia Quartzosa distrofica,,02/17/95 12:00 AM,,,,,,
BR,21,,,,,,LXH,,,0,Lc,,1,jch,ty,,,,,,mur,AR34,114,,TH,,US,Bruno nao calcico,,06/13/94 12:00 AM,,,,,,
BR,22,,,,,,PLE,,,0,We,,1,jcf,gr,,,,,,aub,PS02,68,,IH,,US,Solonetz solodizado,,06/13/94 12:00 AM,,,,,,
BR,23,,,,,,ALF,,,0,Af,,1,hcg,oy,,,,,,udt,AQ06,114,34,IH,,UD,Podzolico Vermelho-Amarelo *),,02/17/95 12:00 AM,,,,,,
BR,24,,,,,,ARO,,,0,Fa,CE,1,,,,,,,,oua,QU,68,,IH,,US,Latossolo Vermelho-Amarelo *),,02/17/95 12:00 AM,,,,,,
BR,25,,,,,,FRG,,,0,Fa,CE,1,ecb,rh,,,,,,oua,AA,115,,IH,,US,Latossolo Roxo *),,02/17/95 12:00 AM,,,,,,
BR,26,,,,,,FRG,hu,,0,Fa,CE,1,ecb,ai,,,,,,ouk,AA,134,28,IH,,US,Latossolo Vermelho Escuro *),,02/21/96 12:00 AM,,,,,,
BR,27,,,,,,PTU,,,0,Gp,CE,1,,,,,,,,iql,,114,,IH,,PQ,Plintossolo Distrofico *),,02/17/95 12:00 AM,,,,,,
BR,28,,,,,,GLE,,,0,Ge,CE,1,,,,,,,,iqt,AA,114,,IH,,PQ,Plintossolo Eutrofico Tb *),,02/17/95 12:00 AM,,,,,,
BR,29,PL,gl,um,ab,au,PLu,ab,,1,Wh,,1,hac,ty,66,34,IH,,AQ,uqw,AA,66,34,IH,,AQ,Planossolo Tb Álico A moderado textura média/argilosa fase floresta tropical subcaducifólia relvo plano,,04/16/04 12:00 AM,OSP,,,,,
BW,1,LV,pf,ro,ct,,LVx,,,1,Ne,,1,jcf,az,126,34,HT,,US,aub,RH,126,34,HT,,US,Tobela series,,01/31/02 12:00 AM,OSP,,,,,
BW,2,VR,pe,gm,sow,,VRe,pe,,1,Vp,,1,vee,az,126,37,HT,,US,vul,AA,126,37,HT,,US,Manale series (deep vertic A),,01/31/02 12:00 AM,OSP,,,,,
BW,3,LV,pf,ct,,,LVG,,,1,Lg,,1,jch,ud,126,34,HT,,US,aua,AQ06,126,34,HT,,US,,,02/08/02 12:00 AM,OSP,,,,,
BW,4,LV,pcn,ro,,,LVX,,,1,Lk,,1,jcg,az,96,46,HT,,US,aub,PE04,96,46,HT,,US,,,02/08/02 12:00 AM,OSP,,,,,
BW,5,SN,gl,,,,SNG,,,1,Sg,,1,jad,al,96,46,HT,,US,aqn,AL04,96,46,HT,,US,,,02/08/02 12:00 AM,OSP,,,,,
BW,6,LV,pf,cr,,,LVx,,,1,Lc,,1,jch,ps,80,46,HT,,US,aub,AR34,80,46,HT,,US,,,02/08/02 12:00 AM,OSP,,,,,
BW,7,AR,pp,lvw,ru,eu,CMx,,PF,1,Qc,MS,1,kdd,az,62,46,HT,,US,iou,AR34,62,34,HT,,US,,,02/08/02 12:00 AM,OSP,,,,,
CA,1,CM,ca,,,,CMc,,,1,Kh,,0,,,,,,,,mba,AR34,68,35,FR,,AR,Orthic Brown Chernozem,,05/08/03 12:00 AM,OSP,,,,,
CA,2,KS,cco,ha,,,KSk,,,1,Kk,,1,,,,,,,,mba,AA,68,35,FR,,AR,Calcareous Dark Brown Chernozem,,05/08/03 12:00 AM,OSP,,,,,
CA,3,PH,gln,lv,gs,vm,PHg,lu,,1,Cl,,1,,,,,,,,mbc,AR22,80,46,CR,,UD,Gleyed Eluviated Black Chernozem,,05/08/03 12:00 AM,OSP,,,,,
CA,4,LV,cco,ct,,,LVk,,,1,Lk,,1,,,,,,,,abo,MO,96,35,FR,,UD,Orthic Dark Grey Soil,,05/12/03 12:00 AM,OSP,,,,,
CA,6,SN,szw,ccw,ad,,SNh,hz,,1,So,,1,,,,,,,,abn,,96,35,FR,,AR,Dark Brown Solodized Solonetz - Solod intergrade,,05/12/03 12:00 AM,OSP,,,,,
CA,7,SN,szw,mg,ad,ab,SNh,hz,,1,So,,1,,,,,,,,abn,,96,35,FR,,AR,Brown Solod,,05/12/03 12:00 AM,OSP,,,,,
CA,8,LV,gl,cr,ct,,LVg,mo,,1,Lg,,1,,,,,,,,mdr,AQ06,134,34,ME,,UD,Trafalgar series, Humic Luvic Gleysol,,05/13/03 12:00 AM,OSP,,,,
CA,9,LV,ab,ct,,,LVa,,,1,La,,1,,,,,,,,abo,AA,80,35,CR,,UD,Culp series, Orthic Gray Luvisol,,05/13/03 12:00 AM,OSP,,,,
CA,10,LV,ab,sl,ha,,LVa,,,1,La,,1,,,,,,,,abo,AA,96,34,FR,,UD,Lobley series, Podzolic Gray Luvisol,,05/14/03 12:00 AM,OSP,,,,
CA,13,LV,ab,pf,ct,dyh,ALu,,,1,Ah,,1,,,,,,,,iof,AA,80,34,FR,,UD,Tormentine Series, Fragic Humo-Ferric Podzol,,05/19/03 12:00 AM,OSP,,,,
CA,14,PZ,gl,dn,his,pi,PZg,hi,PL,1,Pg,,1,,,,,,,,sqa,AR,62,34,FR,ortstein,AQ,Ortstein Humic Podzol,,05/19/03 12:00 AM,OSP,,,,,
CA,15,PL,sow,lv,ab,euo,PLe,hs,,1,Ws,,1,,,,,,,,abo,AA,114,34,FR,,UD,Esher Series, Dark Grey Solod,,05/19/03 12:00 AM,OSP,,,,
