,NAME,SOURCE,LEVEL_1,LEVEL_2,LEVEL_3,LEVEL_4,LAT,LON,NOTES
589,ndwnyg.001-,asd,pervious,npv,wood,measured,34.4483,-119.8191,urban reflectance spectra from santa barbara
590,ndwnmf.006-,asd,pervious,npv,wood,measured,34.4574,-119.823,urban reflectance spectra from santa barbara
591,ndwnmf.003-,asd,pervious,npv,wood,measured,34.4574,-119.823,urban reflectance spectra from santa barbara
592,ndwnmm.001-,asd,pervious,npv,wood,measured,34.4358,-119.8804,urban reflectance spectra from santa barbara
593,D.spicata,asd,pervious,npv,litter,measured,0.0,0.0,usgs
594,Grass_dry.8+.2green,asd,pervious,npv,litter,measured,0.0,0.0,usgs
595,Grass_dry.9+.1green,asd,pervious,npv,litter,measured,0.0,0.0,usgs
596,Marsh,asd,pervious,npv,litter,measured,0.0,0.0,usgs
597,Marsh,asd,pervious,npv,litter,measured,0.0,0.0,usgs
598,P.aus.,asd,pervious,npv,litter,measured,0.0,0.0,usgs
599,P.australis,asd,pervious,npv,litter,measured,0.0,0.0,usgs
600,Sagebrush,asd,pervious,npv,litter,measured,0.0,0.0,usgs
601,Willow,asd,pervious,npv,litter,measured,0.0,0.0,usgs
602,frrkof.003-,asd,impervious,urban,asphalt,measured,34.4127,-119.7317,urban reflectance spectra from santa barbara
603,frrkof.007-,asd,impervious,urban,asphalt,measured,34.4127,-119.7317,urban reflectance spectra from santa barbara
604,frrkof.006-,asd,impervious,urban,asphalt,measured,34.4127,-119.7317,urban reflectance spectra from santa barbara
605,fggeof.004-,asd,impervious,urban,asphalt,measured,34.4183,-119.8721,urban reflectance spectra from santa barbara
606,fscnmm.004-,asd,impervious,urban,comp_shingle,measured,34.4358,-119.8804,urban reflectance spectra from santa barbara
607,fscnof.008-,asd,impervious,urban,comp_shingle,measured,34.4358,-119.8804,urban reflectance spectra from santa barbara
608,fscnof.001-,asd,impervious,urban,comp_shingle,measured,34.4358,-119.8804,urban reflectance spectra from santa barbara
609,fscnof.006-,asd,impervious,urban,comp_shingle,measured,34.4358,-119.8804,urban reflectance spectra from santa barbara
610,fscrmg.013-,asd,impervious,urban,comp_shingle,measured,34.4332,-119.7809,urban reflectance spectra from santa barbara
611,fscrmg.006-,asd,impervious,urban,comp_shingle,measured,34.4118,-119.8709,urban reflectance spectra from santa barbara
612,fscgye.022-,asd,impervious,urban,comp_shingle,measured,34.4309,-119.6795,urban reflectance spectra from santa barbara
613,fttrmg.007-,asd,impervious,urban,comp_shingle,measured,34.4118,-119.8709,urban reflectance spectra from santa barbara
614,fscemm.010-,asd,impervious,urban,comp_shingle,measured,34.4003,-119.7311,urban reflectance spectra from santa barbara
615,fscgye.028-,asd,impervious,urban,comp_shingle,measured,34.4309,-119.6795,urban reflectance spectra from santa barbara
616,fsceye.026-,asd,impervious,urban,comp_shingle,measured,34.4283,-119.8707,urban reflectance spectra from santa barbara
617,fsfnye.003-,asd,impervious,urban,concrete_tile,measured,34.43,-119.7633,urban reflectance spectra from santa barbara
618,modrmg.004-,asd,impervious,urban,driveway,measured,34.4357,119.8801,urban reflectance spectra from santa barbara
619,spcsye.006-,asd,impervious,urban,driveway,measured,34.4399,-119.8927,urban reflectance spectra from santa barbara
620,spcsye.005-,asd,impervious,urban,driveway,measured,34.4399,-119.8927,urban reflectance spectra from santa barbara
621,folwmm.002-,asd,impervious,urban,glass,measured,34.43,-119.7633,urban reflectance spectra from santa barbara
