Wavelength	scorpipo.mn	std-	std+	scorpipo.st
503	8.83E-02	8.51E-02	9.15E-02	3.19E-03
504	8.87E-02	8.55E-02	9.19E-02	3.23E-03
505	0.089118704	8.59E-02	9.24E-02	3.25E-03
506	8.95E-02	8.63E-02	9.28E-02	3.26E-03
507	9.00E-02	8.67E-02	9.32E-02	3.28E-03
508	9.04E-02	8.71E-02	9.37E-02	3.30E-03
509	9.08E-02	8.75E-02	9.41E-02	3.33E-03
510	9.12E-02	8.79E-02	9.46E-02	3.35E-03
511	9.16E-02	8.83E-02	9.50E-02	3.37E-03
512	9.21E-02	8.87E-02	9.55E-02	3.39E-03
513	9.26E-02	8.92E-02	9.60E-02	3.40E-03
514	9.31E-02	8.97E-02	9.65E-02	3.41E-03
515	9.36E-02	9.01E-02	9.70E-02	3.44E-03
516	9.40E-02	9.06E-02	9.75E-02	3.47E-03
517	9.46E-02	9.10E-02	9.81E-02	3.51E-03
518	9.51E-02	9.15E-02	9.86E-02	3.57E-03
519	0.095573828	9.19E-02	9.92E-02	3.63E-03
520	9.61E-02	9.24E-02	9.98E-02	3.69E-03
521	9.66E-02	9.29E-02	1.00E-01	3.73E-03
522	9.71E-02	9.34E-02	1.01E-01	3.73E-03
523	9.77E-02	9.39E-02	1.01E-01	3.73E-03
524	9.83E-02	9.45E-02	1.02E-01	3.75E-03
525	9.88E-02	9.51E-02	1.03E-01	3.77E-03
526	9.94E-02	9.56E-02	1.03E-01	3.80E-03
527	0.10000667	9.62E-02	1.04E-01	3.84E-03
528	0.100574918	9.67E-02	1.04E-01	3.90E-03
529	0.101172194	9.72E-02	1.05E-01	3.93E-03
530	0.101772696	9.78E-02	1.06E-01	3.95E-03
531	0.102394581	9.84E-02	1.06E-01	3.96E-03
532	0.10301774	9.90E-02	1.07E-01	3.97E-03
533	0.103607476	9.96E-02	1.08E-01	4.00E-03
534	0.104185544	1.00E-01	1.08E-01	4.03E-03
535	0.104805492	1.01E-01	1.09E-01	4.08E-03
536	0.105420336	1.01E-01	1.10E-01	4.10E-03
537	0.106038064	1.02E-01	1.10E-01	4.11E-03
538	0.106681764	1.03E-01	1.11E-01	4.12E-03
539	0.107325569	1.03E-01	1.11E-01	4.16E-03
540	0.10796506	1.04E-01	1.12E-01	4.19E-03
541	0.108593039	1.04E-01	1.13E-01	4.23E-03
542	0.109199241	1.05E-01	1.13E-01	4.27E-03
543	0.109842256	1.06E-01	1.14E-01	4.31E-03
544	0.110513419	1.06E-01	1.15E-01	4.34E-03
545	0.111140668	1.07E-01	1.15E-01	4.36E-03
546	0.111795969	1.07E-01	1.16E-01	4.38E-03
547	0.112452827	1.08E-01	1.17E-01	4.40E-03
548	0.113101371	1.09E-01	1.18E-01	4.44E-03
549	0.113751903	1.09E-01	1.18E-01	4.47E-03
550	0.114410892	1.10E-01	1.19E-01	4.50E-03
551	0.115077652	1.11E-01	1.20E-01	4.52E-03
552	0.115744427	1.11E-01	1.20E-01	4.55E-03
553	0.116411783	1.12E-01	1.21E-01	4.58E-03
554	0.117080525	1.12E-01	1.22E-01	4.61E-03
555	0.117746651	1.13E-01	1.22E-01	0.004625189
556	0.118412271	1.14E-01	1.23E-01	4.64E-03
557	0.119054265	1.14E-01	1.24E-01	4.66E-03
558	0.119717509	1.15E-01	1.24E-01	4.69E-03
559	0.120404236	1.16E-01	1.25E-01	4.74E-03
560	0.121065766	1.16E-01	1.26E-01	4.79E-03
561	0.121711455	1.17E-01	1.27E-01	4.82E-03
562	0.122400157	1.18E-01	1.27E-01	4.84E-03
563	0.123041503	1.18E-01	1.28E-01	4.86E-03
564	0.123672605	1.19E-01	1.29E-01	4.88E-03
565	0.124322824	1.19E-01	1.29E-01	4.91E-03
566	0.124983348	1.20E-01	1.30E-01	4.95E-03
567	0.125648737	1.21E-01	1.31E-01	4.98E-03
568	0.126311868	1.21E-01	1.31E-01	5.00E-03
569	0.126972973	1.22E-01	1.32E-01	5.03E-03
570	0.12764287	1.23E-01	1.33E-01	5.07E-03
571	0.128315523	1.23E-01	1.33E-01	5.11E-03
572	0.128946126	1.24E-01	1.34E-01	5.15E-03
573	0.129607782	1.24E-01	1.35E-01	5.18E-03
574	0.130283281	1.25E-01	1.35E-01	5.20E-03
575	0.130943552	1.26E-01	1.36E-01	5.22E-03
576	0.131636307	1.26E-01	1.37E-01	5.25E-03
577	0.132333621	1.27E-01	1.38E-01	5.29E-03
578	0.133038178	1.28E-01	1.38E-01	5.33E-03
579	0.133717075	1.28E-01	1.39E-01	5.38E-03
580	0.134400919	1.29E-01	1.40E-01	5.42E-03
581	0.135100573	1.30E-01	1.41E-01	5.46E-03
582	0.135756999	1.30E-01	1.41E-01	5.48E-03
583	0.136442274	1.31E-01	1.42E-01	5.50E-03
584	0.137156263	1.32E-01	1.43E-01	5.51E-03
585	0.137808219	1.32E-01	1.43E-01	5.54E-03
586	0.138457209	1.33E-01	1.44E-01	5.55E-03
587	0.139120013	1.34E-01	1.45E-01	5.56E-03
588	0.139811561	1.34E-01	1.45E-01	5.60E-03
589	0.140440032	1.35E-01	1.46E-01	5.67E-03
590	0.141091838	1.35E-01	1.47E-01	5.75E-03
591	0.141804636	1.36E-01	1.48E-01	5.82E-03
592	0.142544851	1.37E-01	1.48E-01	5.83E-03
593	0.143286556	1.37E-01	1.49E-01	5.86E-03
594	0.144036695	1.38E-01	1.50E-01	5.90E-03
595	0.144823238	1.39E-01	1.51E-01	5.97E-03
596	0.145606562	1.40E-01	1.52E-01	6.02E-03
597	0.146397293	1.40E-01	1.52E-01	6.08E-03
598	0.147145599	1.41E-01	1.53E-01	6.13E-03
599	0.147915795	1.42E-01	1.54E-01	6.19E-03
600	0.148707092	1.42E-01	1.55E-01	6.25E-03
601	0.149480388	1.43E-01	1.56E-01	0.006323277
602	0.150234729	1.44E-01	1.57E-01	6.41E-03
603	0.150969848	1.44E-01	1.57E-01	6.49E-03
604	0.151688427	1.45E-01	1.58E-01	6.57E-03
605	0.152453631	1.46E-01	1.59E-01	6.63E-03
606	0.15326789	1.47E-01	1.60E-01	6.69E-03
607	0.15409869	1.47E-01	1.61E-01	6.74E-03
608	0.154834867	1.48E-01	1.62E-01	6.78E-03
609	0.155629128	1.49E-01	1.62E-01	6.83E-03
610	0.156445488	1.50E-01	1.63E-01	6.87E-03
611	0.157252222	1.50E-01	1.64E-01	6.90E-03
612	0.158072919	1.51E-01	1.65E-01	6.93E-03
613	0.158891797	1.52E-01	1.66E-01	6.94E-03
614	0.159724295	1.53E-01	1.67E-01	6.94E-03
615	0.160576269	1.54E-01	1.68E-01	6.96E-03
616	0.161431983	1.54E-01	1.68E-01	7.00E-03
617	0.16226083	1.55E-01	1.69E-01	7.03E-03
618	0.163044944	1.56E-01	1.70E-01	7.05E-03
619	0.163865805	1.57E-01	1.71E-01	7.05E-03
620	0.16469048	1.58E-01	1.72E-01	7.04E-03
621	0.165507823	1.58E-01	1.73E-01	7.05E-03
622	0.1663412	1.59E-01	1.73E-01	7.06E-03
623	0.167203084	1.60E-01	1.74E-01	7.07E-03
624	0.168089271	1.61E-01	1.75E-01	7.09E-03
