Wavelength	cheat.mn	std-	std+	cheat.st
570	9.54E-02	8.03E-02	1.10E-01	1.50E-02
571	9.59E-02	8.07E-02	1.11E-01	1.51E-02
572	9.63E-02	8.11E-02	1.12E-01	1.52E-02
573	0.096789263	8.15E-02	1.12E-01	1.53E-02
574	9.73E-02	8.20E-02	1.13E-01	1.53E-02
575	9.78E-02	8.24E-02	1.13E-01	1.54E-02
576	9.83E-02	8.29E-02	1.14E-01	1.54E-02
577	9.88E-02	8.33E-02	1.14E-01	1.55E-02
578	9.93E-02	8.37E-02	1.15E-01	1.56E-02
579	0.099783257	8.41E-02	1.15E-01	1.56E-02
580	0.100299791	8.46E-02	1.16E-01	1.57E-02
581	0.100789368	8.50E-02	1.17E-01	1.58E-02
582	0.101296313	8.55E-02	1.17E-01	1.58E-02
583	0.101789646	8.59E-02	1.18E-01	1.59E-02
584	0.102270603	8.63E-02	1.18E-01	1.59E-02
585	0.102738686	8.68E-02	1.19E-01	0.015958659
586	0.103228956	8.72E-02	1.19E-01	0.016000759
587	0.103734083	8.77E-02	1.20E-01	1.60E-02
588	0.104228057	8.81E-02	1.20E-01	1.61E-02
589	0.104688056	8.85E-02	1.21E-01	1.62E-02
590	0.105147265	8.89E-02	1.21E-01	1.63E-02
591	0.105613306	8.92E-02	1.22E-01	1.64E-02
592	0.10614983	8.97E-02	1.23E-01	1.64E-02
593	0.106655635	9.02E-02	1.23E-01	1.65E-02
594	0.107132435	9.06E-02	1.24E-01	0.016548153
595	0.107645027	9.10E-02	1.24E-01	1.66E-02
596	0.108147264	9.14E-02	1.25E-01	1.67E-02
597	0.108660474	9.19E-02	1.25E-01	1.68E-02
598	0.109183535	9.23E-02	1.26E-01	1.69E-02
599	0.109690569	9.28E-02	1.27E-01	1.69E-02
600	0.110210218	9.32E-02	1.27E-01	1.70E-02
601	0.110730857	9.36E-02	1.28E-01	1.71E-02
602	0.111242861	9.40E-02	1.28E-01	1.72E-02
603	0.111776829	9.44E-02	1.29E-01	1.73E-02
604	0.112332448	9.49E-02	1.30E-01	1.74E-02
605	0.112815402	9.53E-02	1.30E-01	1.75E-02
606	0.113337502	9.57E-02	1.31E-01	1.76E-02
607	0.113886349	9.62E-02	1.32E-01	1.77E-02
608	0.114424244	9.67E-02	1.32E-01	1.77E-02
609	0.114959195	9.71E-02	1.33E-01	1.78E-02
610	0.115494169	9.76E-02	1.33E-01	1.79E-02
611	0.116022155	9.81E-02	1.34E-01	1.80E-02
612	0.116552249	9.85E-02	1.35E-01	1.80E-02
613	0.117101617	9.90E-02	1.35E-01	1.81E-02
614	0.117686458	9.96E-02	1.36E-01	1.81E-02
615	0.118241973	1.00E-01	1.36E-01	1.82E-02
616	0.118780963	1.01E-01	1.37E-01	1.82E-02
617	0.119304843	1.01E-01	1.38E-01	1.83E-02
