Wavelength	Mean	Std +	Std -
812	0.168935862	0.202349119	0.135522605
813	0.169081414	0.202453082	0.135709745
814	0.169182552	0.202534511	0.135830593
815	0.169371069	0.202713777	0.136028361
816	0.169589621	0.202937623	0.136241619
817	0.169784724	0.203173103	0.136396345
818	0.170056793	0.203466054	0.136647532
819	0.170340724	0.203783247	0.136898201
820	0.170588517	0.204085047	0.137091987
821	0.170705103	0.204141843	0.137268364
822	0.170916069	0.204326612	0.137505526
823	0.171212207	0.204643494	0.13778092
824	0.171539034	0.205046619	0.13803145
825	0.171776724	0.205307556	0.138245893
826	0.171965655	0.205491905	0.138439405
827	0.172105276	0.205616974	0.138593578
828	0.172317793	0.205826878	0.138808708
829	0.17254731	0.206068503	0.139026117
830	0.172756379	0.206306528	0.13920623
831	0.172998828	0.206540095	0.13945756
832	0.173206483	0.20675258	0.139660386
833	0.173413586	0.206988116	0.139839057
834	0.173661517	0.207264636	0.140058399
835	0.173908172	0.207535092	0.140281253
836	0.174135207	0.207771114	0.1404993
837	0.174374069	0.207989072	0.140759066
838	0.174643517	0.208279164	0.14100787
839	0.174887552	0.208545399	0.141229704
840	0.175067897	0.208729144	0.14140665
841	0.175241966	0.208936109	0.141547822
842	0.175429793	0.209139541	0.141720045
843	0.175636517	0.209339756	0.141933279
844	0.175909552	0.209593205	0.142225899
845	0.176166414	0.209856024	0.142476804
846	0.176398448	0.210111288	0.142685609
847	0.176564862	0.210308022	0.142821702
848	0.176755552	0.210499691	0.143011413
849	0.176946586	0.210678063	0.14321511
850	0.177113	0.210823473	0.143402527
851	0.177301138	0.211056342	0.143545934
852	0.177505103	0.211256382	0.143753824
853	0.177748345	0.211433568	0.144063122
854	0.177946724	0.211620108	0.14427334
855	0.178186655	0.211901058	0.144472253
856	0.178441034	0.21221705	0.144665019
857	0.178704379	0.212495163	0.144913596
858	0.178940103	0.212740941	0.145139266
859	0.179163483	0.212967223	0.145359743
860	0.179330241	0.213115835	0.145544648
861	0.179569276	0.213362703	0.145775849
862	0.179833586	0.213643237	0.146023936
863	0.180076724	0.213900826	0.146252622
864	0.180212483	0.21404488	0.146380086
865	0.180379069	0.214177433	0.146580705
866	0.180609172	0.214357118	0.146861227
867	0.180930069	0.214685593	0.147174545
868	0.181123207	0.214941394	0.14730502
869	0.181290724	0.215162034	0.147419414
870	0.181516483	0.215370563	0.147662403
871	0.18168169	0.215534079	0.1478293
872	0.181894414	0.215741708	0.14804712
873	0.182137345	0.21596222	0.14831247
874	0.182370966	0.216232326	0.148509605
875	0.182567103	0.216436417	0.14869779
876	0.182755759	0.216621061	0.148890456
877	0.182989	0.216896764	0.149081236
878	0.183153586	0.217083849	0.149223323
879	0.183340138	0.217277817	0.149402459
880	0.183518621	0.217421329	0.149615912
881	0.183747655	0.217654715	0.149840595
882	0.183999	0.217922029	0.150075971
883	0.184273621	0.218220262	0.15032698
884	0.184443	0.218388802	0.150497198
885	0.184654172	0.218595801	0.150712543
886	0.18488431	0.218816381	0.15095224
887	0.18509469	0.219016516	0.151172863
888	0.185306	0.219260095	0.151351905
889	0.185549586	0.219552917	0.151546256
890	0.185792586	0.219820502	0.15176467
891	0.185954448	0.219977082	0.151931814
892	0.186139345	0.220141443	0.152137247
893	0.186376	0.220340872	0.152411128
894	0.18647731	0.220471885	0.152482736
895	0.186566241	0.220571483	0.152561
896	0.186681034	0.220671744	0.152690325
897	0.186917138	0.220821392	0.153012884
898	0.18703669	0.220904388	0.153168991
899	0.187141828	0.220989488	0.153294167
900	0.18732569	0.221105697	0.153545682
901	0.187609069	0.221375984	0.153842154
902	0.187948034	0.221757639	0.15413843
903	0.188282966	0.222193171	0.15437276
904	0.18864669	0.222672044	0.154621335
905	0.188852897	0.222954815	0.154750978
906	0.188964069	0.223099669	0.154828468
907	0.189172241	0.223183225	0.155161258
908	0.18930831	0.223227901	0.15538872
909	0.189389345	0.223270941	0.155507749
910	0.189530793	0.223523992	0.155537594
911	0.189914103	0.223904003	0.155924204
912	0.190260655	0.224221497	0.156299813
913	0.190418655	0.224360441	0.156476869
914	0.190608207	0.224507555	0.156708859
915	0.190837862	0.224715062	0.156960662
916	0.191103345	0.224984816	0.157221874
917	0.191355207	0.225292399	0.157418014
918	0.191708966	0.225644637	0.157773294
919	0.192074931	0.226009149	0.158140713
920	0.19228069	0.226330455	0.158230925
921	0.192571966	0.226679754	0.158464177
922	0.192767483	0.226895782	0.158639184
923	0.192774207	0.226892204	0.15865621
924	0.192992379	0.227101923	0.158882835
925	0.193281552	0.227376596	0.159186508
926	0.193654414	0.227741896	0.159566931
927	0.193591517	0.22780292	0.159380115
928	0.193516931	0.227762838	0.159271024
929	0.19343331	0.22764003	0.159226591
